airportCode,airportLocation,airportName
ATL,"Atlanta, GA","Hartsfield–Jackson Atlanta International Airport"
DEN,"Denver, CO","Denver International Airport"
DFW,"Dallas, TX","Dallas/Fort Worth International Airport"
EWR,"Newark, NJ","Newark Liberty International Airport"
JFK,"New York, NY","John F. Kennedy International Airport"
LAS,"Las Vegas, NV","McCarran International Airport"
LAX,"Los Angeles, CA","Los Angeles International Airport"
MCO,"Orlando, FL","Orlando International Airport"
ORD,"Chicago, IL","O'Hare International Airport"
SEA,"Seattle, WA","Seattle–Tacoma International Airport"
SFO,"San Francisco, CA","San Francisco International Airport"
